mysql> INSERT INTO EMPLOYEE(Fname,Minit,Lname,Ssn,Bdate,Address,Sex,Salary,Super_ssn,Dno)VALUES
    -> ('BRETT','A','LEE','999333456',STR_TO_DATE('20-MAY-1988','%d-%b-%Y'),'13SixthSt,Seattle,WA','M',95900,'999999999',5),
    -> ('DALE','B','STEYN','666034555',STR_TO_DATE('23-MAY-1989','%d-%b-%Y'),'19SeventhSt,Seattle,WA','M',96000,'999999999',5),
    -> ('SHOAIB','C','AKHTAR','943852456',STR_TO_DATE('29-MAY-1984','%d-%b-%Y'),'17EightthSt,Seattle,WA','M',95500,'999999999',5);
Query OK, 3 rows affected (0.08 sec)
Records: 3  Duplicates: 0  Warnings: 0

mysql> select * from employee;
+-----------+-------+-----------+-----------+------------+-------------------------------+------+----------+-----------+------+
| Fname     | Minit | Lname     | Ssn       | Bdate      | Address                       | Sex  | Salary   | Super_ssn | Dno  |
+-----------+-------+-----------+-----------+------------+-------------------------------+------+----------+-----------+------+
| Alex      | C     | Yu        | 001614905 | 1980-10-17 |  626MarySt,Dallas,TX          | M    | 50000.00 | 444444400 |    6 |
| Lisa      | G     | House     | 101248268 | 1975-06-29 |  12MapleSt,Austin,TX          | F    | 85000.00 | null      |    7 |
| Sunil     | D     | Gupta     | 110110110 | 2001-02-01 |  4312BowenRd,Arlington,TX     | M    | 80000.00 | 111111100 |    3 |
| Jared     | D     | James     | 111111100 | 1966-10-10 |  123Peachtr,Atlanta,GA        | M    | 85000.00 | null      |    6 |
| Jon       | C     | Jones     | 111111101 | 1967-11-14 |  111Allgood,Atlanta,GA        | M    | 45000.00 | 111111100 |    6 |
| Justin    | null  | Mark      | 111111102 | 1966-01-12 |  2342May,Atlanta,GA           | M    | 40000.00 | 111111100 |    6 |
| Brad      | C     | Knight    | 111111103 | 1968-02-13 |  176MainSt.,Atlanta,GA        | M    | 44000.00 | 111111100 |    6 |
| Cameron   | D     | Thirteen  | 111422203 | 2001-05-04 |  22UnivBlvd,Arlington,TX      | F    | 80000.00 | 987987987 |    4 |
| Juan      | G     | Linda     | 112244668 | 1965-06-23 |  1210AppleSt,Austin,TX        | F    | 55000.00 | null      |    9 |
| John      | B     | Smith     | 123456789 | 1955-01-09 |  731Fondren,Houston,TX        | M    | 30000.00 | 333445555 |    5 |
| Debra     | T     | Hall      | 202843824 | 1983-03-11 |  45NYSt,Rochester,NY          | F    | 30000.00 | 555555501 |    6 |
| Richard   | T     | Koelbel   | 214370999 | 1976-04-03 |  50ElkSt,Chicago,IL           | M    | 85000.00 | 999999999 |    4 |
| Evan      | E     | Wallis    | 222222200 | 1958-01-16 |  134Pelham,Milwaukee,WI       | M    | 92000.00 | null      |    7 |
| Josh      | U     | Zell      | 222222201 | 1954-05-22 |  266McGrady,Milwaukee,WI      | M    | 56000.00 | 222222200 |    7 |
| Andy      | C     | Vile      | 222222202 | 1944-06-21 |  1967Jordan,Milwaukee,WI      | M    | 53000.00 | 222222200 |    7 |
| Tom       | G     | Brand     | 222222203 | 1966-12-16 |  112ThirdSt,Milwaukee,WI      | M    | 62500.00 | 222222200 |    7 |
| Jenny     | F     | Vos       | 222222204 | 1967-11-11 |  263Mayberry,Milwaukee,WI     | F    | 61000.00 | 222222201 |    7 |
| Chris     | A     | Carter    | 222222205 | 1960-03-21 |  565Jordan,Milwaukee,WI       | F    | 43000.00 | 222222201 |    7 |
